"Root"|"Meaning in English"|"Origin language"|"Etymology (root origin)"|"English examples
"|
"<b>arti-</b>"|"even"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CF%81%CF%84%CE%B9%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἄρτιος"">ἄρτιος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ártios</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀρτιότης</span> ""evenness"", <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀρτιάκις</span>"|"<a href=""/wiki/Artiodactyl"" class=""mw-redirect"" title=""Artiodactyl"">artiodactyl</a>, artiodactylous
"|
"<b>asc-</b><sup id=""cite_ref-34"" class=""reference""><a href=""#cite_note-34"">[34]</a></sup>"|"bag"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CF%83%CE%BA%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἀσκός"">ἀσκός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>askós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀσκίδιον</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>askídion</i></span>)"|"ascidium, <a href=""/wiki/Ascites"" title=""Ascites"">ascites</a>, ascitic, <a href=""/wiki/Ascocarp"" title=""Ascocarp"">ascocarp</a>, ascoma, ascomycete, <a href=""/wiki/Ascomycota"" title=""Ascomycota"">Ascomycota</a>, <a href=""/wiki/Ascospore"" title=""Ascospore"">ascospore</a>, <a href=""/wiki/Ascus"" title=""Ascus"">ascus</a>
"|
"<b>asin-</b>"|"ass"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/asinus#Latin"" class=""extiw"" title=""wikt:asinus"">asinus</a></i>"|"asinine, ass, easel
"|
"<b>asper-</b>"|"rough"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/asper#Latin"" class=""extiw"" title=""wikt:asper"">asper</a></i> ""rough"""|"asperity, exasperate
"|
"<b>aspr-</b><sup id=""cite_ref-35"" class=""reference""><a href=""#cite_note-35"">[35]</a></sup>"|"white"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CF%83%CF%80%CF%81%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἄσπρος"">ἄσπρος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>áspros</i></span>)"|"diaper
"|
"<b>aster-</b>, <b>astr-</b>"|"star, star-shaped"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CF%83%CF%84%CE%AE%CF%81#Ancient_Greek"" class=""extiw"" title=""wikt:ἀστήρ"">ἀστήρ, ἀστέρος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>astḗr, astéros</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CF%83%CF%84%CF%81%CE%BF%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:ἄστρον"">ἄστρον</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>ástron</i></span>) ""star"""|"aster, <a href=""/wiki/Asterisk"" title=""Asterisk"">asterisk</a>, <a href=""/wiki/Asteroid"" title=""Asteroid"">asteroid</a>, <a href=""/wiki/Astrology"" title=""Astrology"">astrology</a>, <a href=""/wiki/Astronomy"" title=""Astronomy"">astronomy</a>, astronaut, <a href=""/wiki/Diasterism"" class=""mw-redirect"" title=""Diasterism"">diasterism</a> <a href=""/wiki/Geaster"" class=""mw-redirect"" title=""Geaster"">geaster</a>, monaster
"|
"<b><a href=""#sthen-"">asthen-</a></b>"|"weak"|"Greek"|"<span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀσθενής</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>asthenḗs</i></span>)"|"<a href=""/wiki/Asthenopia"" class=""mw-redirect"" title=""Asthenopia"">asthenopia</a>, <a href=""/wiki/Asthenosphere"" title=""Asthenosphere"">asthenosphere</a>, <a href=""/wiki/Asthenozoospermia"" title=""Asthenozoospermia"">asthenozoospermia</a>
"|
"<b>ather-</b><sup id=""cite_ref-36"" class=""reference""><a href=""#cite_note-36"">[36]</a></sup>"|"gruel"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%80%CE%B8%CE%AC%CF%81%CE%B7#Ancient_Greek"" class=""extiw"" title=""wikt:ἀθάρη"">ἀθάρη</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>athárē</i></span>)"|"atherogenic, atheroma, atherosclerosis
"|
"<b>athl-</b>"|"contest"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%86%CE%B8%CE%BB%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἆθλος"">ἆθλος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>âthlos</i></span>) ""contest, feat"", <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἄεθλος</span>"|"<a href=""/wiki/Sportsperson"" class=""mw-redirect"" title=""Sportsperson"">athlete</a>, athletic, decathlon, <a href=""/wiki/Pentathlon"" title=""Pentathlon"">pentathlon</a>, triathlon
"|
"<b>-athroid-</b>"|"gathered or lumped together"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B1%CE%B8%CF%81%CE%BF%CE%AF%CE%B6%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:αθροίζω"">ἀθροίζειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>athroízein</i></span>) ""to gather together"""|"<a href=""/wiki/Epiathroid"" title=""Epiathroid"">epiathroid</a>, <a href=""/wiki/Hypoathroid"" title=""Hypoathroid"">hypoathroid</a>
"|
"<b>audac-</b>"|"daring"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/audax#Latin"" class=""extiw"" title=""wikt:audax"">audax</a></i> ""brave, bold, daring"", from <i lang=""la""><a href=""https://en.wiktionary.org/wiki/audeo#Latin"" class=""extiw"" title=""wikt:audeo"">audere</a></i> ""to dare"""|"audacious, audacity
"|
"<b>aud-</b>"|"hearing, listening, sound"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/audio#Latin"" class=""extiw"" title=""wikt:audio"">audire</a></i> ""to hear"""|"audible, audience, audio, audiobook, audiology, audiovisual, audit, audition, <a href=""/wiki/Auditorium"" title=""Auditorium"">auditorium</a>, auditory
"|
"<b>aug-</b>, <b>auct-</b>"|"grow, increase"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/augeo#Latin"" class=""extiw"" title=""wikt:augeo"">augēre</a></i>, <i><i lang=""la"" title=""Latin language text"">auctus</i></i> ""to increase"""|"auction, augend, augment, augmentation, augur, augury, august, author, auxiliary, inauguration
"|
"<b>aul-</b>"|"flute, tube"|"Greek"|"<span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἄημι</span> <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">(ἄϝημι)</span>, <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B1%E1%BD%90%CE%BB%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:αὐλός"">αὐλός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aulós</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">αὐλέω</span>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">αὔλησις</span>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">αὐλητής</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aulētḗs</i></span>)"|"<a href=""/wiki/Aulete"" class=""mw-redirect"" title=""Aulete"">aulete</a>, <a href=""/wiki/Aulos"" title=""Aulos"">aulos</a>, hydraulic, hydraulus
"|
"<b>aur-</b>"|"relating to gold, or gold-colored"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/aurum#Latin"" class=""extiw"" title=""wikt:aurum"">aurum</a></i> ""gold"""|"aureate, <a href=""/wiki/Aureole"" class=""mw-redirect"" title=""Aureole"">aureole</a>
"|
"<b>auri-</b>, <b>aus-</b>"|"relating to the <a href=""/wiki/Ear"" title=""Ear"">ear</a>"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/auris#Latin"" class=""extiw"" title=""wikt:auris"">auris</a></i> ""ear"""|"aural, <a href=""/wiki/Auricle_(botany)"" title=""Auricle (botany)"">auricle</a>, aurinasal, auscultate, auscultation
"|
"<b>aut-</b>, <b>auto-</b><sup id=""cite_ref-37"" class=""reference""><a href=""#cite_note-37"">[37]</a></sup>"|"self; directed from within"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B1%E1%BD%90%CF%84%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:αὐτός"">αὐτός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>autós</i></span>) ""self"", ""same"""|"<a href=""/wiki/Autarchism"" title=""Autarchism"">autarchism</a>, <a href=""/wiki/Autarchism"" title=""Autarchism"">autarchy</a>, <a href=""/wiki/Autarky"" title=""Autarky"">autarky</a>, authentic, <a href=""/wiki/Autism"" title=""Autism"">autism</a>, autistic, autobiography, <a href=""/wiki/Autocracy"" title=""Autocracy"">autocracy</a>, <a href=""/wiki/Autograph"" title=""Autograph"">autograph</a>, autoimmune, automatic, <a href=""/wiki/Automaton"" title=""Automaton"">automaton</a>, automobile, <a href=""/wiki/Autonomy"" title=""Autonomy"">autonomy</a>, autopilot
"|
"<b>aux-</b><sup id=""cite_ref-38"" class=""reference""><a href=""#cite_note-38"">[38]</a></sup>"|"increase"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B1%E1%BD%94%CE%BE%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:αὔξω"">αὔξειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aúxein</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B1%E1%BD%90%CE%BE%CE%AC%CE%BD%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:αὐξάνω"">αὐξάνειν</a></span> <i>auxánein</i>, <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">αὔξησις</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>aúxēsis</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">αὐξητικός</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>auxētikós</i></span>)"|"auxanogram, <a href=""/wiki/Auxanography"" title=""Auxanography"">auxanography</a>, auxanology, <a href=""/wiki/Auxanometer"" title=""Auxanometer"">auxanometer</a>, auxesis, auxetic, <a href=""/wiki/Auxin"" title=""Auxin"">auxin</a>, <a href=""/wiki/Auxochrome"" title=""Auxochrome"">auxochrome</a>, <a href=""/wiki/Auxology"" title=""Auxology"">auxology</a>, auxotroph, <a href=""/wiki/Auxotrophy"" title=""Auxotrophy"">auxotrophy</a>
"|
"<b>av-</b>"|"desire"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/aveo#Latin"" class=""extiw"" title=""wikt:aveo"">avere</a></i> ""crave, long for"""|"avarice, avaricious, avarous, ave, avid, avidity
"|
"<b>avi-</b>, <b>au-</b>"|"bird"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/avis#Latin"" class=""extiw"" title=""wikt:avis"">avis</a></i>"|"auspice, auspicious, avian, <a href=""/wiki/Aviary"" title=""Aviary"">aviary</a>, aviation, aviator
"|
"<b>axi-</b><sup id=""cite_ref-39"" class=""reference""><a href=""#cite_note-39"">[39]</a></sup>"|"merit, worth"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BE%CE%B9%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:ἄξιος"">ἄξιος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>áxios</i></span>) ""worth"", <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">ἀξίωμα</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>axíōma</i></span>)"|"axiogenesis, <a href=""/wiki/Axiology"" title=""Axiology"">axiology</a>, <a href=""/wiki/Axiom"" title=""Axiom"">axiom</a>, axiomatic
"|
"<b>axi-</b>"|"axis"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/axis#Latin"" class=""extiw"" title=""wikt:axis"">axis</a></i>"|"axis, <a href=""/wiki/Axisymmetry"" class=""mw-redirect"" title=""Axisymmetry"">axisymmetry</a>
"|
"<b>axon-</b><sup id=""cite_ref-40"" class=""reference""><a href=""#cite_note-40"">[40]</a></sup>"|"axis, axle"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%E1%BC%84%CE%BE%CF%89%CE%BD#Ancient_Greek"" class=""extiw"" title=""wikt:ἄξων"">ἄξων, ἄξονος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>áxōn, áxonos</i></span>)"|"<a href=""/wiki/Axon"" title=""Axon"">axon</a>, axonography, <a href=""/wiki/Axonometric_projection"" title=""Axonometric projection"">axonometric</a>, <a href=""/wiki/Axonotmesis"" title=""Axonotmesis"">axonotmesis</a>
"|
"<b>ba-</b><sup id=""cite_ref-41"" class=""reference""><a href=""#cite_note-41"">[41]</a></sup><br>(ΒΑ<sup id=""cite_ref-42"" class=""reference""><a href=""#cite_note-42"">[42]</a></sup>)"|""|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%B1%CE%AF%CE%BD%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:βαίνω"">βαίνειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>baínein</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%B1%CF%84%CF%8C%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βατός"">βατός</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>batós</i></span>),<br> <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%AC%CF%83%CE%B9%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βάσις"">βάσις</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>básis</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%E1%BF%86%CE%BC%CE%B1#Ancient_Greek"" class=""extiw"" title=""wikt:βῆμα"">βῆμα, βήματος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bêma, bḗmatos</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βάτης</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bátēs</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βάθρον</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>báthron</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%B1%CF%84%CE%AD%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:βατέω"">βατεῖν</a></span>"|"<a href=""/wiki/Acrobatics"" title=""Acrobatics"">acrobat</a>, <a href=""/wiki/Acrobatics"" title=""Acrobatics"">acrobatic</a>, adiabatic, aerobatic, anabasis, anabatic, antiparabema, base, basic, <a href=""/wiki/Basidiocarp"" title=""Basidiocarp"">basidiocarp</a>, basidioma, basidiomycete, <a href=""/wiki/Basidiospore"" title=""Basidiospore"">basidiospore</a>, <a href=""/wiki/Basidium"" title=""Basidium"">basidium</a>, <a href=""/wiki/Basion"" class=""mw-redirect"" title=""Basion"">basion</a>, <a href=""/wiki/Basionym"" title=""Basionym"">basionym</a>, basis, <a href=""/wiki/Basophilic"" title=""Basophilic"">basophilic</a>, bema, <a href=""/wiki/Catabasis"" class=""mw-redirect"" title=""Catabasis"">catabasis</a>, catabatic, <a href=""/wiki/Diabase"" title=""Diabase"">diabase</a>, diabatic, diabetes, diabetic, <a href=""/wiki/Dibasic_acid"" class=""mw-redirect"" title=""Dibasic acid"">dibasic</a>, <a href=""/wiki/Hyperbaton"" title=""Hyperbaton"">hyperbaton</a>, hypobasis, <a href=""/wiki/Katabasis"" title=""Katabasis"">katabasis</a>, katabatic, <a href=""/wiki/Monobasic_acid"" class=""mw-redirect"" title=""Monobasic acid"">monobasic</a>, polybasic, <a href=""/wiki/Stereobate"" class=""mw-redirect"" title=""Stereobate"">stereobate</a>, <a href=""/wiki/Stylobate"" title=""Stylobate"">stylobate</a>, <a href=""/wiki/Tribasic_acid"" class=""mw-redirect"" title=""Tribasic acid"">tribasic</a>
"|
"<b>bac-</b>"|"rod-shaped"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/baculum#Latin"" class=""extiw"" title=""wikt:baculum"">baculum</a></i>"|"baculiform, baculum, <a href=""/wiki/Bacteria"" title=""Bacteria"">bacteria</a>
"|
"<b>bal-</b>, <b>bel-</b>, <b>bol-</b><br>(ΒΑΛ<sup id=""cite_ref-43"" class=""reference""><a href=""#cite_note-43"">[43]</a></sup>)"|"throw"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%AC%CE%BB%CE%BB%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:βάλλω"">βάλλειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bállein</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%BF%CE%BB%CE%AE#Ancient_Greek"" class=""extiw"" title=""wikt:βολή"">βολή</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bolḗ</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βλῆμα</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>blêma</i></span>)"|"ametabolic, <a href=""/wiki/Ametabolism"" title=""Ametabolism"">ametabolism</a>, <a href=""/wiki/Amphibole"" title=""Amphibole"">amphibole</a>, amphibolic, <a href=""/wiki/Amphibolite"" title=""Amphibolite"">amphibolite</a>, amphibolous, <a href=""/wiki/Amphiboly"" class=""mw-redirect"" title=""Amphiboly"">amphiboly</a>, anabolic, anabolism, <a href=""/wiki/Astrobleme"" class=""mw-redirect"" title=""Astrobleme"">astrobleme</a>, ball, <a href=""/wiki/Ballism"" class=""mw-redirect"" title=""Ballism"">ballism</a>, ballista, ballistic, <a href=""/wiki/Ballistospore"" title=""Ballistospore"">ballistospore</a>, <a href=""/wiki/Belomancy"" title=""Belomancy"">belomancy</a>, <a href=""/wiki/Belonephobia"" class=""mw-redirect"" title=""Belonephobia"">belonephobia</a>, <a href=""/wiki/Bolide"" title=""Bolide"">bolide</a>, <a href=""/wiki/Bolometer"" title=""Bolometer"">bolometer</a>, catabolic, catabolism, devil, diabolic, emblem, emblematic, embolic, <a href=""/wiki/Embolism"" title=""Embolism"">embolism</a>, embolismic, <a href=""/wiki/Embolize"" class=""mw-redirect"" title=""Embolize"">embolize</a>, embolon, <a href=""/wiki/Embolus"" title=""Embolus"">embolus</a>, emboly, <a href=""/wiki/Hemiballismus"" title=""Hemiballismus"">hemiballismus</a>, <a href=""/wiki/Holometabolism"" title=""Holometabolism"">holometabolism</a>, <a href=""/wiki/Hyperbola"" title=""Hyperbola"">hyperbola</a>, hyperbole, hyperbolic, hyperboloid, metabolic, metabolism, metabolite, metabolize, palaver, <a href=""/wiki/Parable"" title=""Parable"">parable</a>, <a href=""/wiki/Parabola"" title=""Parabola"">parabola</a>, parabolic, paraboloid, parle, parley, <a href=""/wiki/Parol_evidence_rule"" title=""Parol evidence rule"">parol</a>, <a href=""/wiki/Parole"" title=""Parole"">parole</a>, problem, problematic, <a href=""/wiki/Symbol"" title=""Symbol"">symbol</a>, symbolic, symbolism, symbolist, symbolize, <a href=""/wiki/Symbology"" class=""mw-redirect"" title=""Symbology"">symbology</a>, taurobolium, <a href=""/wiki/Thromboembolism"" class=""mw-redirect"" title=""Thromboembolism"">thromboembolism</a>
"|
"<b>bapt-</b><br>(ΒΑΦ<sup id=""cite_ref-44"" class=""reference""><a href=""#cite_note-44"">[44]</a></sup>)"|"dip"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%AC%CF%80%CF%84%CF%89#Ancient_Greek"" class=""extiw"" title=""wikt:βάπτω"">βάπτειν</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>báptein</i></span>), <span lang=""grc"" title=""Ancient Greek (to 1453) language text"">βάμμα</span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bámma</i></span>)"|"abaptiston, Anabaptist, baptism, baptize
"|
"<b>bar-</b><sup id=""cite_ref-45"" class=""reference""><a href=""#cite_note-45"">[45]</a></sup>"|"<a href=""/wiki/Weight"" title=""Weight"">weight</a>, <a href=""/wiki/Pressure"" title=""Pressure"">pressure</a>"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%B1%CF%81%CF%8D%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βαρύς"">βαρύς</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>barús</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%AC%CF%81%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βάρος"">βάρος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>báros</i></span>)"|"<a href=""/wiki/Abarognosis"" title=""Abarognosis"">abarognosis</a>, antibaryon, baresthesia, <a href=""/wiki/Bariatric"" class=""mw-redirect"" title=""Bariatric"">bariatric</a>, baritone, <a href=""/wiki/Barognosis"" title=""Barognosis"">barognosis</a>, barogram, <a href=""/wiki/Barograph"" title=""Barograph"">barograph</a>, <a href=""/wiki/Barometer"" title=""Barometer"">barometer</a>, barometric, <a href=""/w/index.php?title=Barophobia&amp;action=edit&amp;redlink=1"" class=""new"" title=""Barophobia (page does not exist)"">barophobia</a>, <a href=""/wiki/Barostat"" title=""Barostat"">barostat</a>, <a href=""/wiki/Barycentre"" class=""mw-redirect"" title=""Barycentre"">barycentre</a>, barycentric, <a href=""/wiki/Baryogenesis"" title=""Baryogenesis"">baryogenesis</a>, <a href=""/wiki/Baryon"" title=""Baryon"">baryon</a>, <a href=""/wiki/Barysphere"" class=""mw-redirect"" title=""Barysphere"">barysphere</a>, <a href=""/wiki/Baryton"" title=""Baryton"">baryton</a>, <a href=""/wiki/Barytone"" title=""Barytone"">barytone</a>, hyperbaric, hypobaric, isobar, isobaric
"|
"<b><a href=""#ba-"">bas-</a></b>"|"step"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%AC%CF%83%CE%B9%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βάσις"">βάσις</a></span>"|"
"|
"<b>bath-</b>"|"deep, depth"|"Greek"|"<span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%B1%CE%B8%CF%8D%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βαθύς"">βαθύς</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>bathús</i></span>), <span lang=""grc""><a href=""https://en.wiktionary.org/wiki/%CE%B2%CE%AC%CE%B8%CE%BF%CF%82#Ancient_Greek"" class=""extiw"" title=""wikt:βάθος"">βάθος</a></span> (<span title=""Ancient Greek transliteration"" lang=""grc-Latn""><i>báthos</i></span>)"|"<a href=""/wiki/Batholith"" title=""Batholith"">batholith</a>, bathophobia, bathos, <a href=""/wiki/Bathymetry"" title=""Bathymetry"">bathymetry</a>, <a href=""/wiki/Bathyscaphe"" title=""Bathyscaphe"">bathyscaphe</a>, <a href=""/wiki/Bathysphere"" title=""Bathysphere"">bathysphere</a>, isobathic
"|
"<b>be-</b>, <b>beat-</b>"|"bless"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/beo#Latin"" class=""extiw"" title=""wikt:beo"">beare</a></i>, <i><i lang=""la"" title=""Latin language text"">beatus</i></i>"|"<a href=""/wiki/Beatification"" title=""Beatification"">beatification</a>
"|
"<b>bell-</b>, <b>belli-</b>"|"war"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/bellum#Latin"" class=""extiw"" title=""wikt:bellum"">bellum</a></i>, <i><i lang=""la"" title=""Latin language text"">belli</i></i>"|"antebellum, bellicose, <a href=""/wiki/Belligerent"" title=""Belligerent"">belligerent</a>, rebellion
"|
"<b>ben-</b>"|"good, well"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/bene#Latin"" class=""extiw"" title=""wikt:bene"">bene</a></i> (adverb)"|"beneficence, benefit, benevolent, benign, benignant, <a href=""/wiki/Benignity"" title=""Benignity"">benignity</a>
"|
"<b>bi-</b>, <b>bin-</b>, <b>bis-</b>"|"two"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/bis#Latin"" class=""extiw"" title=""wikt:bis"">bis</a></i>, ""twice""; <i lang=""la""><a href=""https://en.wiktionary.org/wiki/bini#Latin"" class=""extiw"" title=""wikt:bini"">bini</a></i>, ""in twos"""|"bicycle, biennial, bifocal, bisexual, <a href=""/wiki/Bigamy"" title=""Bigamy"">bigamy</a>, <a href=""/wiki/Binary_numeral_system"" class=""mw-redirect"" title=""Binary numeral system"">binary</a>, <a href=""/wiki/Binoculars"" title=""Binoculars"">binoculars</a>, <a href=""/wiki/Biscotti"" title=""Biscotti"">biscotti</a>
"|
"<b>bib-</b>"|"drink"|"Latin"|"<i lang=""la""><a href=""https://en.wiktionary.org/wiki/bibo#Latin"" class=""extiw"" title=""wikt:bibo"">bibere</a></i>, <i><i lang=""la"" title=""Latin language text"">bibitus</i></i>"|"bib, beer, beverage, imbibe
"|
